,time,spj,kpj,zgj,zdj,cjl
0,,,,,,
1,日期,收盘价,开盘价,最高价,最低价,成交量
2,2014-12-31,2.910,3.090,3.130,2.880,1289
3,2014-12-30,3.090,3.180,3.180,3.080,760
4,2014-12-29,3.190,3.060,3.210,3.020,413
5,2014-12-26,3.030,3.060,3.100,2.970,574
6,2014-12-24,3.030,3.170,3.190,3.000,736
7,2014-12-23,3.170,3.170,3.230,3.100,1217
8,2014-12-22,3.170,3.350,3.350,3.120,1822
9,2014-12-19,3.450,3.670,3.680,3.440,1422
10,2014-12-18,3.660,3.700,3.800,3.640,1489
11,2014-12-17,3.700,3.620,3.720,3.610,793
12,2014-12-16,3.630,3.740,3.790,3.600,1156
13,2014-12-15,3.730,3.930,3.940,3.700,1399
14,2014-12-12,3.770,3.650,3.830,3.640,1297
15,2014-12-11,3.650,3.710,3.780,3.610,1418
16,2014-12-10,3.720,3.640,3.740,3.610,1199
17,2014-12-09,3.650,3.620,3.710,3.610,1334
18,2014-12-08,3.610,3.780,3.780,3.580,1256
19,2014-12-05,3.780,3.680,3.820,3.660,1417
20,2014-12-04,3.660,3.790,3.810,3.640,1481
21,2014-12-03,3.780,3.860,3.870,3.760,1534
22,2014-12-02,3.860,4.010,4.030,3.860,1595
23,2014-12-01,4.030,3.980,4.080,3.930,2246
24,2014-11-28,4.080,4.200,4.270,4.070,11729
25,2014-11-27,4.240,4.340,4.370,4.230,510
26,2014-11-26,4.330,4.440,4.530,4.330,2154
27,2014-11-25,4.280,4.150,4.320,4.100,439
28,2014-11-24,4.150,4.040,4.160,4.010,1095
29,2014-11-21,4.240,4.460,4.530,4.230,1657
30,2014-11-20,4.460,4.400,4.500,4.250,3008
31,2014-11-19,4.410,4.270,4.510,4.190,2495
32,2014-11-18,4.260,4.300,4.340,4.150,2086
33,2014-11-17,4.300,4.150,4.350,4.110,1788
34,2014-11-14,4.060,3.970,4.070,3.930,1815
35,2014-11-13,3.980,4.150,4.170,3.960,1691
36,2014-11-12,4.150,4.220,4.230,4.140,1386
37,2014-11-11,4.210,4.260,4.310,4.120,2272
38,2014-11-10,4.270,4.510,4.540,4.240,2145
39,2014-11-07,4.380,4.410,4.490,4.280,3095
40,2014-11-06,4.410,4.410,4.420,4.410,4
41,2014-11-05,4.210,4.200,4.210,4.200,8
42,,,,,,
43,日期,收盘价,开盘价,最高价,最低价,成交量
44,2014-11-04,4.140,4.140,4.140,4.140,0
45,2014-11-03,4.030,4.040,4.050,4.030,11
46,2014-10-31,3.870,3.860,3.950,3.830,1022
47,2014-10-30,3.860,3.810,3.870,3.730,1073
48,2014-10-29,3.730,3.660,3.760,3.620,311
49,2014-10-28,3.660,3.570,3.680,3.540,513
50,2014-10-27,3.570,3.610,3.640,3.550,540
51,2014-10-24,3.630,3.650,3.650,3.560,615
52,2014-10-23,3.650,3.660,3.680,3.590,1203
53,2014-10-22,3.660,3.700,3.720,3.650,666
54,2014-10-21,3.700,3.650,3.720,3.630,607
55,2014-10-20,3.660,3.720,3.740,3.660,745
56,2014-10-17,3.760,3.820,3.820,3.710,651
57,2014-10-16,3.810,3.810,3.830,3.740,990
58,2014-10-15,3.810,3.840,3.860,3.760,788
59,2014-10-14,3.830,3.920,3.950,3.810,891
60,2014-10-13,3.920,3.840,3.930,3.820,568
61,2014-10-10,3.860,3.860,3.890,3.830,469
62,2014-10-09,3.850,3.860,3.940,3.810,1357
63,2014-10-08,3.860,3.950,3.950,3.840,723
64,2014-10-07,3.940,3.910,3.970,3.870,789
65,2014-10-06,3.910,4.000,4.000,3.890,879
66,2014-10-03,4.020,3.970,4.050,3.940,837
67,2014-10-02,3.960,4.030,4.060,3.910,1454
68,2014-10-01,4.030,4.120,4.180,4.020,648
69,2014-09-30,4.130,4.140,4.180,4.100,785
70,2014-09-29,4.130,4.030,4.160,4.010,1004
71,2014-09-26,3.980,3.960,4.000,3.920,210
72,2014-09-25,3.960,3.890,3.970,3.820,701
73,2014-09-24,3.890,3.830,3.920,3.800,396
74,2014-09-23,3.830,3.850,3.900,3.810,510
75,2014-09-22,3.850,3.840,3.880,3.800,579
76,2014-09-19,3.840,3.910,3.920,3.830,620
77,2014-09-18,3.900,4.010,4.030,3.900,978
78,2014-09-17,4.010,3.990,4.040,3.960,680
79,2014-09-16,3.990,3.930,4.000,3.860,756
80,2014-09-15,3.930,3.840,3.950,3.840,779
81,2014-09-12,3.840,3.840,3.860,3.790,576
82,2014-09-11,3.840,3.950,3.960,3.810,1119
83,2014-09-10,3.950,3.980,3.990,3.940,597
84,,,,,,
85,日期,收盘价,开盘价,最高价,最低价,成交量
86,2014-09-09,3.980,3.890,4.010,3.850,905
87,2014-09-08,3.880,3.780,3.900,3.760,677
88,2014-09-05,3.810,3.840,3.850,3.780,543
89,2014-09-04,3.840,3.850,3.880,3.790,1027
90,2014-09-03,3.850,3.890,3.920,3.830,834
91,2014-09-02,3.890,4.070,4.070,3.880,1195
92,2014-09-01,4.070,4.050,4.080,4.020,132
93,2014-08-29,4.080,4.050,4.080,4.010,603
94,2014-08-28,4.050,4.010,4.100,3.970,1160
95,2014-08-27,3.960,3.930,4.000,3.900,191
96,2014-08-26,3.930,3.940,3.980,3.900,436
97,2014-08-25,3.930,3.870,3.940,3.840,515
98,2014-08-22,3.840,3.880,3.890,3.830,498
99,2014-08-21,3.880,3.830,3.950,3.790,1086
100,2014-08-20,3.840,3.870,3.890,3.790,629
101,2014-08-19,3.870,3.790,3.910,3.780,608
102,2014-08-18,3.790,3.750,3.820,3.730,595
103,2014-08-15,3.790,3.890,3.900,3.760,654
104,2014-08-14,3.880,3.810,3.950,3.800,995
105,2014-08-13,3.820,3.980,3.990,3.810,788
106,2014-08-12,3.980,3.990,4.020,3.950,427
107,2014-08-11,3.990,4.000,4.010,3.920,628
108,2014-08-08,3.970,3.880,3.970,3.870,571
109,2014-08-07,3.880,3.950,3.980,3.860,1228
110,2014-08-06,3.950,3.890,3.950,3.880,664
111,2014-08-05,3.890,3.840,3.910,3.830,597
112,2014-08-04,3.840,3.780,3.850,3.760,601
